feature_symbol	ensembl_id	entrezgene	TenX_symbol	hgnc_symbol	chromosome	biotype	description	gc_content
TRBV2	ENSG00000226660	NA	TRBV2	TRBV2	7	TR_V_gene	T cell receptor beta variable 2	44.79
TRBV3-1	ENSG00000237702	NA	TRBV3-1	TRBV3-1	7	TR_V_gene	T cell receptor beta variable 3-1	47.14
TRBV4-1	ENSG00000211710	NA	TRBV4-1	TRBV4-1	7	TR_V_gene	T cell receptor beta variable 4-1	50.52
TRBV5-1	ENSG00000211734	NA	TRBV5-1	TRBV5-1	7	TR_V_gene	T cell receptor beta variable 5-1	56.11
TRBV6-1	ENSG00000211706	NA	TRBV6-1	TRBV6-1	7	TR_V_gene	T cell receptor beta variable 6-1	53.67
TRBV7-1	ENSG00000211707	NA	TRBV7-1	TRBV7-1	7	TR_V_gene	T cell receptor beta variable 7-1 (non-functional)	52.88
TRBV4-2	ENSG00000211745	NA	TRBV4-2	TRBV4-2	7	TR_V_gene	T cell receptor beta variable 4-2	52.04
TRBV6-2	ENSG00000283063	NA	TRBV6-2	TRBV6-2	7	TR_V_gene	T cell receptor beta variable 6-2 (gene/pseudogene)	54
TRBV7-2	ENSG00000282939	NA	TRBV7-2	TRBV7-2	7	TR_V_gene	T cell receptor beta variable 7-2	53.89
TRBV8-1	ENSG00000243889	NA	TRBV8-1	TRBV8-1	7	TR_V_pseudogene	T cell receptor beta variable 8-1 (pseudogene)	46.95
TRBV5-2	ENSG00000242771	NA	TRBV5-2	TRBV5-2	7	TR_V_pseudogene	T cell receptor beta variable 5-2 (pseudogene)	47.25
TRBV6-4	ENSG00000211713	NA	TRBV6-4	TRBV6-4	7	TR_V_gene	T cell receptor beta variable 6-4	51.75
TRBV7-3	ENSG00000211714	NA	TRBV7-3	TRBV7-3	7	TR_V_gene	T cell receptor beta variable 7-3	54.97
TRBV8-2	ENSG00000239944	NA	TRBV8-2	TRBV8-2	7	TR_V_pseudogene	T cell receptor beta variable 8-2 (pseudogene)	49.63
TRBV5-3	ENSG00000211715	NA	TRBV5-3	TRBV5-3	7	TR_V_gene	T cell receptor beta variable 5-3 (non-functional)	54.82
TRBV9	ENSG00000211716	NA	TRBV9	TRBV9	7	TR_V_gene	T cell receptor beta variable 9	51.72
TRBV10-1	ENSG00000211717	NA	TRBV10-1	TRBV10-1	7	TR_V_gene	T cell receptor beta variable 10-1(gene/pseudogene)	53.28
TRBV11-1	ENSG00000211720	NA	TRBV11-1	TRBV11-1	7	TR_V_gene	T cell receptor beta variable 11-1	50.11
TRBV12-1	ENSG00000244661	NA	TRBV12-1	TRBV12-1	7	TR_V_pseudogene	T cell receptor beta variable 12-1 (pseudogene)	47.18
TRBV10-2	ENSG00000229769	NA	TRBV10-2	TRBV10-2	7	TR_V_gene	T cell receptor beta variable 10-2	52.5
TRBV11-2	ENSG00000241657	NA	TRBV11-2	TRBV11-2	7	lincRNA	T cell receptor beta variable 11-2	49.2
TRBV12-2	ENSG00000211739	NA	TRBV12-2	TRBV12-2	7	TR_V_pseudogene	T cell receptor beta variable 12-2 (pseudogene)	47.18
TRBV6-5	ENSG00000211721	NA	TRBV6-5	TRBV6-5	7	TR_V_gene	T cell receptor beta variable 6-5	54.78
TRBV7-4	ENSG00000253409	NA	TRBV7-4	TRBV7-4	7	TR_V_gene	T cell receptor beta variable 7-4 (gene/pseudogene)	51.95
TRBV5-4	ENSG00000230099	NA	TRBV5-4	TRBV5-4	7	TR_V_gene	T cell receptor beta variable 5-4	55.56
TRBV6-6	ENSG00000211724	NA	TRBV6-6	TRBV6-6	7	TR_V_gene	T cell receptor beta variable 6-6	53.67
TRBV7-5	ENSG00000227550	NA	TRBV7-5	TRBV7-5	7	TR_V_pseudogene	T cell receptor beta variable 7-5 (pseudogene)	49.79
TRBV5-5	ENSG00000211725	NA	TRBV5-5	TRBV5-5	7	TR_V_gene	T cell receptor beta variable 5-5	55.51
TRBV6-7	ENSG00000253188	NA	TRBV6-7	TRBV6-7	7	TR_V_gene	T cell receptor beta variable 6-7 (non-functional)	53.35
TRBV7-6	ENSG00000211727	NA	TRBV7-6	TRBV7-6	7	TR_V_gene	T cell receptor beta variable 7-6	51.85
TRBV5-6	ENSG00000211728	NA	TRBV5-6	TRBV5-6	7	TR_V_gene	T cell receptor beta variable 5-6	56.41
TRBV6-8	ENSG00000253534	NA	TRBV6-8	TRBV6-8	7	TR_V_gene	T cell receptor beta variable 6-8	54.08
TRBV7-7	ENSG00000253291	NA	TRBV7-7	TRBV7-7	7	TR_V_gene	T cell receptor beta variable 7-7	49.4
TRBV5-7	ENSG00000211731	NA	TRBV5-7	TRBV5-7	7	TR_V_gene	T cell receptor beta variable 5-7 (non-functional)	55.25
TRBV7-9	ENSG00000278030	NA	TRBV7-9	TRBV7-9	7	TR_V_gene	T cell receptor beta variable 7-9	51.59
TRBV13	ENSG00000276405	NA	TRBV13	TRBV13	7	TR_V_gene	T cell receptor beta variable 13	51.45
TRBV10-3	ENSG00000275791	NA	TRBV10-3	TRBV10-3	7	TR_V_gene	T cell receptor beta variable 10-3	49.37
TRBV11-3	ENSG00000276597	NA	TRBV11-3	TRBV11-3	7	TR_V_gene	T cell receptor beta variable 11-3	48.86
TRBV12-3	ENSG00000274752	NA	TRBV12-3	TRBV12-3	7	TR_V_gene	T cell receptor beta variable 12-3	48.13
TRBV12-4	ENSG00000276953	NA	TRBV12-4	TRBV12-4	7	TR_V_gene	T cell receptor beta variable 12-4	48.81
TRBV12-5	ENSG00000275158	NA	TRBV12-5	TRBV12-5	7	TR_V_gene	T cell receptor beta variable 12-5	49.12
TRBV14	ENSG00000275743	NA	TRBV14	TRBV14	7	TR_V_gene	T cell receptor beta variable 14	44.31
TRBV15	ENSG00000276819	NA	TRBV15	TRBV15	7	TR_V_gene	T cell receptor beta variable 15	50
TRBV16	ENSG00000275243	NA	TRBV16	TRBV16	7	TR_V_gene	T cell receptor beta variable 16 (gene/pseudogene)	45.59
TRBV17	ENSG00000277880	NA	TRBV17	TRBV17	7	TR_V_gene	T cell receptor beta variable 17 (non-functional)	50.89
TRBV18	ENSG00000276557	NA	TRBV18	TRBV18	7	TR_V_gene	T cell receptor beta variable 18	47.86
TRBV19	ENSG00000211746	NA	TRBV19	TRBV19	7	TR_V_gene	T cell receptor beta variable 19	50.88
TRBV20-1	ENSG00000211747	NA	TRBV20-1	TRBV20-1	7	TR_V_gene	T cell receptor beta variable 20-1	55.53
TRBV21-1	ENSG00000251578	NA	TRBV21-1	TRBV21-1	7	TR_V_pseudogene	T cell receptor beta variable 21-1 (pseudogene)	47.07
TRBV22-1	ENSG00000240578	NA	TRBV22-1	TRBV22-1	7	TR_V_pseudogene	T cell receptor beta variable 22-1 (pseudogene)	52.55
TRBV23-1	ENSG00000211749	NA	TRBV23-1	TRBV23-1	7	TR_V_gene	T cell receptor beta variable 23-1 (non-functional)	44.58
TRBV24-1	ENSG00000211750	NA	TRBV24-1	TRBV24-1	7	TR_V_gene	T cell receptor beta variable 24-1	46.39
MTRNR2L6	ENSG00000270672	100463482	MTRNR2L6	MTRNR2L6	7	protein_coding	MT-RNR2 like 6	39.05
TRBV25-1	ENSG00000282499	NA	TRBV25-1	TRBV25-1	7	TR_V_gene	T cell receptor beta variable 25-1	46.93
TRBVA	ENSG00000239992	NA	TRBVA	TRBVA	7	TR_V_pseudogene	T cell receptor beta variable A (pseudogene)	45.27
TRBV26	ENSG00000249912	NA	TRBV26	TRBV26	7	TR_V_pseudogene	T cell receptor beta variable 26 (pseudogene)	43.92
TRBVB	ENSG00000241911	NA	TRBVB	TRBVB	7	TR_V_pseudogene	T cell receptor beta variable B (pseudogene)	46.77
TRBV27	ENSG00000211752	NA	TRBV27	TRBV27	7	TR_V_gene	T cell receptor beta variable 27	51.36
TRBV28	ENSG00000211753	NA	TRBV28	TRBV28	7	TR_V_gene	T cell receptor beta variable 28	47.5
TRBC1	ENSG00000211751	NA	TRBC1	TRBC1	7	TR_C_gene	T cell receptor beta constant 1	54.27
TRBV29-1	ENSG00000232869	NA	TRBV29-1	TRBV29-1	7	TR_V_gene	T cell receptor beta variable 29-1	48.33
PRSS2	ENSG00000275896	5645	PRSS2	PRSS2	7	protein_coding	serine protease 2	49.02
PRSS1	ENSG00000204983	5644	PRSS1	PRSS1	7	protein_coding	serine protease 1	51.95
TRBD1	ENSG00000282431	NA	TRBD1	TRBD1	7	TR_D_gene	T cell receptor beta diversity 1	83.33
TRBJ1-1	ENSG00000282320	NA	TRBJ1-1	TRBJ1-1	7	TR_J_gene	T cell receptor beta joining 1-1	45.83
TRBJ1-2	ENSG00000282420	NA	TRBJ1-2	TRBJ1-2	7	TR_J_gene	T cell receptor beta joining 1-2	52.08
TRBJ1-3	ENSG00000282133	NA	TRBJ1-3	TRBJ1-3	7	TR_J_gene	T cell receptor beta joining 1-3	44
TRBJ1-4	ENSG00000281958	NA	TRBJ1-4	TRBJ1-4	7	TR_J_gene	T cell receptor beta joining 1-4	43.14
TRBJ1-5	ENSG00000282173	NA	TRBJ1-5	TRBJ1-5	7	TR_J_gene	T cell receptor beta joining 1-5	52
TRBJ1-6	ENSG00000282780	NA	TRBJ1-6	TRBJ1-6	7	TR_J_gene	T cell receptor beta joining 1-6	52.83
TRBJ2-1	ENSG00000211764	NA	TRBJ2-1	TRBJ2-1	7	TR_J_gene	T cell receptor beta joining 2-1	60
TRBJ2-2	ENSG00000211765	NA	TRBJ2-2	TRBJ2-2	7	TR_J_gene	T cell receptor beta joining 2-2	56.86
TRBJ2-2P	ENSG00000211766	NA	TRBJ2-2P	TRBJ2-2P	7	TR_J_gene	T cell receptor beta joining 2-2P (non-functional)	69.57
TRBJ2-3	ENSG00000211767	NA	TRBJ2-3	TRBJ2-3	7	TR_J_gene	T cell receptor beta joining 2-3	59.18
TRBJ2-4	ENSG00000211768	NA	TRBJ2-4	TRBJ2-4	7	TR_J_gene	T cell receptor beta joining 2-4	60
TRBJ2-5	ENSG00000211769	NA	TRBJ2-5	TRBJ2-5	7	TR_J_gene	T cell receptor beta joining 2-5	66.67
TRBJ2-6	ENSG00000211770	NA	TRBJ2-6	TRBJ2-6	7	TR_J_gene	T cell receptor beta joining 2-6	69.81
TRBJ2-7	ENSG00000211771	NA	TRBJ2-7	TRBJ2-7	7	TR_J_gene	T cell receptor beta joining 2-7	65.96
TRBC2	ENSG00000211772	NA	TRBC2	TRBC2	7	TR_C_gene	T cell receptor beta constant 2	52.99
TRBV30	ENSG00000237254	NA	TRBV30	TRBV30	7	TR_V_gene	T cell receptor beta variable 30 (gene/pseudogene)	55.28
EPHB6	ENSG00000106123	2051	EPHB6	EPHB6	7	protein_coding	EPH receptor B6	52.35
TRPV6	ENSG00000165125	55503	TRPV6	TRPV6	7	protein_coding	transient receptor potential cation channel subfamily V member 6	51.12
AC245427.1	ENSG00000224970	NA	RP11-114L10.2	NA	7	antisense	NA	50.98
TRPV5	ENSG00000127412	56302	TRPV5	TRPV5	7	protein_coding	transient receptor potential cation channel subfamily V member 5	45.83
LLCFC1	ENSG00000165131	135927	C7orf34	LLCFC1	7	protein_coding	LLLL and CFNLAS motif containing 1	53.87
KEL	ENSG00000197993	3792	KEL	KEL	7	protein_coding	Kell metallo-endopeptidase (Kell blood group)	47.06
OR9A2	ENSG00000179468	135924	OR9A2	OR9A2	7	protein_coding	olfactory receptor family 9 subfamily A member 2	44.8
OR6V1	ENSG00000225781	346517	OR6V1	OR6V1	7	protein_coding	olfactory receptor family 6 subfamily V member 1	54.09
PIP	ENSG00000159763	5304	PIP	PIP	7	protein_coding	prolactin induced protein	42.19
TAS2R39	ENSG00000236398	259285	TAS2R39	TAS2R39	7	protein_coding	taste 2 receptor member 39	43.85
AC073342.2	ENSG00000268170	NA	RP11-556I13.2	NA	7	antisense	NA	40.39
TAS2R40	ENSG00000221937	259286	TAS2R40	TAS2R40	7	protein_coding	taste 2 receptor member 40	47.56
GSTK1	ENSG00000197448	373156	GSTK1	GSTK1	7	protein_coding	glutathione S-transferase kappa 1	41.49
AC073342.1	ENSG00000231840	NA	AC073342.12	NA	7	antisense	NA	43.59
TMEM139	ENSG00000178826	135932	TMEM139	TMEM139	7	protein_coding	transmembrane protein 139	47.5
CASP2	ENSG00000106144	835	CASP2	CASP2	7	protein_coding	caspase 2	43.43
CLCN1	ENSG00000188037	1180	CLCN1	CLCN1	7	protein_coding	chloride voltage-gated channel 1	46.07
FAM131B	ENSG00000159784	9715	FAM131B	FAM131B	7	protein_coding	family with sequence similarity 131 member B	55.07
AC093673.2	ENSG00000272619	NA	RP11-563K23.1	NA	7	lincRNA	NA	36.86
AC093673.1	ENSG00000232533	NA	AC093673.5	NA	7	antisense	NA	51.99
ZYX	ENSG00000159840	7791	ZYX	ZYX	7	protein_coding	zyxin	58.32
EPHA1	ENSG00000146904	2041	EPHA1	EPHA1	7	protein_coding	EPH receptor A1	52.64
EPHA1-AS1	ENSG00000229153	NA	EPHA1-AS1	EPHA1-AS1	7	antisense	EPHA1 antisense RNA 1	41.97
TAS2R60	ENSG00000185899	338398	TAS2R60	TAS2R60	7	protein_coding	taste 2 receptor member 60	47.54
TAS2R41	ENSG00000221855	259287	TAS2R41	TAS2R41	7	protein_coding	taste 2 receptor member 41	50.11
CTAGE15	ENSG00000271079	441294	CTAGE15	CTAGE15	7	protein_coding	CTAGE family member 15	41.28
TCAF2	ENSG00000170379	285966	TCAF2	TCAF2	7	protein_coding	TRPM8 channel associated factor 2	41.82
CTAGE6	ENSG00000271321	340307	CTAGE6	CTAGE6	7	protein_coding	CTAGE family member 6	41.33
TCAF1	ENSG00000198420	9747	TCAF1	TCAF1	7	protein_coding	TRPM8 channel associated factor 1	39.07
OR2F2	ENSG00000221910	135948	OR2F2	OR2F2	7	protein_coding	olfactory receptor family 2 subfamily F member 2	48.11
ENSG00000243583	NA	NA	RP4-669B10.3	NA	NA	NA	NA	NA
ENSG00000279723	NA	NA	AC004853.1	NA	NA	NA	NA	NA
OR6B1	ENSG00000221813	135946	OR6B1	OR6B1	7	protein_coding	olfactory receptor family 6 subfamily B member 1	39.79
OR2A5	ENSG00000221836	393046	OR2A5	OR2A5	7	protein_coding	olfactory receptor family 2 subfamily A member 5	39.3
OR2A25	ENSG00000221933	392138	OR2A25	OR2A25	7	protein_coding	olfactory receptor family 2 subfamily A member 25	36.5
OR2A12	ENSG00000221858	346525	OR2A12	OR2A12	7	protein_coding	olfactory receptor family 2 subfamily A member 12	36.63
OR2A2	ENSG00000221989	442361	OR2A2	OR2A2	7	protein_coding	olfactory receptor family 2 subfamily A member 2	49.86
OR2A14	ENSG00000221938	135941	OR2A14	OR2A14	7	protein_coding	olfactory receptor family 2 subfamily A member 14	39.54
CTAGE4	ENSG00000225932	100128553	CTAGE4	CTAGE4	7	protein_coding	CTAGE family member 4	41.85
ARHGEF35	ENSG00000213214	445328	ARHGEF35	ARHGEF35	7	protein_coding	Rho guanine nucleotide exchange factor 35	45.36
AC004889.1	ENSG00000244198	NA	RP4-545C24.1	NA	7	antisense	NA	41.15
OR2A42	ENSG00000212807	402317	OR2A42	OR2A42	7	protein_coding	olfactory receptor family 2 subfamily A member 42	39.85
OR2A1-AS1	ENSG00000244479	NA	OR2A1-AS1	OR2A1-AS1	7	antisense	OR2A1 antisense RNA 1	41.47
OR2A7	ENSG00000243896	107987545	OR2A7	OR2A7	7	protein_coding	olfactory receptor family 2 subfamily A member 7	38.99
CTAGE8	ENSG00000244693	100142659	CTAGE8	CTAGE8	7	protein_coding	CTAGE family member 8	41.81
OR2A1	ENSG00000221970	346528	OR2A1	OR2A1	7	protein_coding	olfactory receptor family 2 subfamily A member 1	39.08
ARHGEF5	ENSG00000050327	7984	ARHGEF5	ARHGEF5	7	protein_coding	Rho guanine nucleotide exchange factor 5	48.06
NOBOX	ENSG00000106410	135935	NOBOX	NOBOX	7	protein_coding	NOBOX oogenesis homeobox	50.29
TPK1	ENSG00000196511	27010	TPK1	TPK1	7	protein_coding	thiamin pyrophosphokinase 1	37.29
AC006007.1	ENSG00000230746	NA	AC006007.1	NA	7	lincRNA	NA	34.37
CNTNAP2	ENSG00000174469	26047	CNTNAP2	CNTNAP2	7	protein_coding	contactin associated protein like 2	37.52
AC006004.1	ENSG00000236795	NA	AC006004.1	NA	7	antisense	NA	37.62
C7orf33	ENSG00000170279	202865	C7orf33	C7orf33	7	protein_coding	chromosome 7 open reading frame 33	42.58
AC005229.4	ENSG00000273314	NA	RP5-1136G13.2	NA	7	antisense	NA	48.09
CUL1	ENSG00000055130	8454	CUL1	CUL1	7	protein_coding	cullin 1	41.22
EZH2	ENSG00000106462	2146	EZH2	EZH2	7	protein_coding	enhancer of zeste 2 polycomb repressive complex 2 subunit	39.21
GHET1	ENSG00000281189	NA	GHET1	GHET1	7	lincRNA	gastric carcinoma proliferation enhancing transcript 1	44.75
PDIA4	ENSG00000155660	9601	PDIA4	PDIA4	7	protein_coding	protein disulfide isomerase family A member 4	50.87
ZNF786	ENSG00000197362	136051	ZNF786	ZNF786	7	protein_coding	zinc finger protein 786	46.13
ZNF425	ENSG00000204947	155054	ZNF425	ZNF425	7	protein_coding	zinc finger protein 425	47.09
ZNF398	ENSG00000197024	57541	ZNF398	ZNF398	7	protein_coding	zinc finger protein 398	45.92
ZNF282	ENSG00000170265	8427	ZNF282	ZNF282	7	protein_coding	zinc finger protein 282	51.85
ZNF212	ENSG00000170260	7988	ZNF212	ZNF212	7	protein_coding	zinc finger protein 212	45.75
ZNF783	ENSG00000204946	100289678	ZNF783	ZNF783	7	protein_coding	zinc finger family member 783	51.5
AC004941.1	ENSG00000228151	NA	AC004941.3	NA	7	antisense	NA	45.87
AC073314.1	ENSG00000261842	NA	RP11-143I21.1	NA	7	lincRNA	NA	48.87
ZNF777	ENSG00000196453	27153	ZNF777	ZNF777	7	protein_coding	zinc finger protein 777	47.33
ZNF746	ENSG00000181220	155061	ZNF746	ZNF746	7	protein_coding	zinc finger protein 746	47.02
KRBA1	ENSG00000133619	84626	KRBA1	KRBA1	7	protein_coding	KRAB-A domain containing 1	57.32
ZNF467	ENSG00000181444	168544	ZNF467	ZNF467	7	protein_coding	zinc finger protein 467	59.5
SSPO	ENSG00000197558	23145	SSPO	SSPO	7	protein_coding	SCO-spondin	61.01
ZNF862	ENSG00000106479	643641	ZNF862	ZNF862	7	protein_coding	zinc finger protein 862	48.92
AC004877.1	ENSG00000273419	NA	RP4-751H13.7	NA	7	antisense	NA	54.97
ATP6V0E2-AS1	ENSG00000204934	NA	ATP6V0E2-AS1	ATP6V0E2-AS1	7	antisense	ATP6V0E2 antisense RNA 1	53.74
ATP6V0E2	ENSG00000171130	155066	ATP6V0E2	ATP6V0E2	7	protein_coding	ATPase H+ transporting V0 subunit e2	54.93
AC093458.1	ENSG00000273293	NA	RP11-445N20.3	NA	7	lincRNA	NA	60.36
AC092681.3	ENSG00000273011	NA	RP11-728K20.3	NA	7	lincRNA	NA	41.59
AC092681.2	ENSG00000260555	NA	RP11-728K20.2	NA	7	lincRNA	NA	47.7
AC092666.1	ENSG00000241449	NA	RP11-545G3.1	NA	7	lincRNA	NA	45.41
ACTR3C	ENSG00000106526	653857	ACTR3C	ACTR3C	7	protein_coding	ARP3 actin related protein 3 homolog C	43.31
LRRC61	ENSG00000127399	65999	LRRC61	LRRC61	7	protein_coding	leucine rich repeat containing 61	54.13
ZBED6CL	ENSG00000188707	113763	ZBED6CL	ZBED6CL	7	protein_coding	ZBED6 C-terminal like	55.68
RARRES2	ENSG00000106538	5919	RARRES2	RARRES2	7	protein_coding	retinoic acid receptor responder 2	62.42
AC005586.1	ENSG00000240449	NA	RP4-584D14.5	NA	7	antisense	NA	53.82
REPIN1	ENSG00000214022	29803	REPIN1	REPIN1	7	protein_coding	replication initiator 1	62.28
ZNF775	ENSG00000196456	285971	ZNF775	ZNF775	7	protein_coding	zinc finger protein 775	52.5
AC073111.1	ENSG00000239377	NA	RP4-584D14.6	NA	7	antisense	NA	54.54
ENSG00000283013	NA	NA	RP11-511P7.5	NA	NA	NA	NA	NA
LINC00996	ENSG00000242258	NA	LINC00996	LINC00996	7	lincRNA	long intergenic non-protein coding RNA 996	45.13
GIMAP8	ENSG00000171115	155038	GIMAP8	GIMAP8	7	protein_coding	GTPase, IMAP family member 8	43.24
GIMAP7	ENSG00000179144	168537	GIMAP7	GIMAP7	7	protein_coding	GTPase, IMAP family member 7	35.94
GIMAP4	ENSG00000133574	55303	GIMAP4	GIMAP4	7	protein_coding	GTPase, IMAP family member 4	44.15
GIMAP6	ENSG00000133561	474344	GIMAP6	GIMAP6	7	protein_coding	GTPase, IMAP family member 6	49.01
GIMAP2	ENSG00000106560	26157	GIMAP2	GIMAP2	7	protein_coding	GTPase, IMAP family member 2	44.17
GIMAP1	ENSG00000213203	170575	GIMAP1	GIMAP1	7	protein_coding	GTPase, IMAP family member 1	45.73
GIMAP1-GIMAP5	ENSG00000281887	100527949	GIMAP1-GIMAP5	GIMAP1-GIMAP5	7	protein_coding	GIMAP1-GIMAP5 readthrough	42.98
GIMAP5	ENSG00000196329	55340	GIMAP5	GIMAP5	7	protein_coding	GTPase, IMAP family member 5	43.79
TMEM176B	ENSG00000106565	28959	TMEM176B	TMEM176B	7	protein_coding	transmembrane protein 176B	51.68
TMEM176A	ENSG00000002933	55365	TMEM176A	TMEM176A	7	protein_coding	transmembrane protein 176A	57.57
AOC1	ENSG00000002726	26	AOC1	AOC1	7	protein_coding	amine oxidase, copper containing 1	47.8
KCNH2	ENSG00000055118	3757	KCNH2	KCNH2	7	protein_coding	potassium voltage-gated channel subfamily H member 2	59.57
NOS3	ENSG00000164867	4846	NOS3	NOS3	7	protein_coding	nitric oxide synthase 3	57.6
ATG9B	ENSG00000181652	285973	ATG9B	ATG9B	7	protein_coding	autophagy related 9B	58.12
ABCB8	ENSG00000197150	11194	ABCB8	ABCB8	7	protein_coding	ATP binding cassette subfamily B member 8	57.04
AC010973.1	ENSG00000243433	NA	RP11-148K1.10	NA	7	antisense	NA	49.79
ASIC3	ENSG00000213199	9311	ASIC3	ASIC3	7	protein_coding	acid sensing ion channel subunit 3	63.56
CDK5	ENSG00000164885	1020	CDK5	CDK5	7	protein_coding	cyclin dependent kinase 5	58.08
SLC4A2	ENSG00000164889	6522	SLC4A2	SLC4A2	7	protein_coding	solute carrier family 4 member 2	59.83
AC010973.2	ENSG00000244151	NA	RP11-148K1.12	NA	7	antisense	NA	60.87
FASTK	ENSG00000164896	10922	FASTK	FASTK	7	protein_coding	Fas activated serine/threonine kinase	61.75
TMUB1	ENSG00000164897	83590	TMUB1	TMUB1	7	protein_coding	transmembrane and ubiquitin like domain containing 1	67.61
AGAP3	ENSG00000133612	116988	AGAP3	AGAP3	7	protein_coding	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	57.73
GBX1	ENSG00000164900	2636	GBX1	GBX1	7	protein_coding	gastrulation brain homeobox 1	47.13
ASB10	ENSG00000146926	136371	ASB10	ASB10	7	protein_coding	ankyrin repeat and SOCS box containing 10	53.7
IQCA1L	ENSG00000278685	392843	IQCA1L	IQCA1L	7	protein_coding	IQ motif containing with AAA domain 1 like	56.62
ABCF2	ENSG00000033050	10061	ABCF2	ABCF2	7	protein_coding	ATP binding cassette subfamily F member 2	48.51
CHPF2	ENSG00000033100	54480	CHPF2	CHPF2	7	protein_coding	chondroitin polymerizing factor 2	56.82
SMARCD3	ENSG00000082014	6604	SMARCD3	SMARCD3	7	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	56.14
AC021097.1	ENSG00000272661	NA	RP4-548D19.3	NA	7	antisense	NA	51.39
AC005486.1	ENSG00000243018	NA	RP5-1070G24.2	NA	7	antisense	NA	60.21
NUB1	ENSG00000013374	51667	NUB1	NUB1	7	protein_coding	negative regulator of ubiquitin like proteins 1	44.96
WDR86	ENSG00000187260	349136	WDR86	WDR86	7	protein_coding	WD repeat domain 86	57.01
AC005996.1	ENSG00000241456	NA	RP4-555L14.4	NA	7	antisense	NA	56.45
CRYGN	ENSG00000127377	155051	CRYGN	CRYGN	7	protein_coding	crystallin gamma N	57.73
RHEB	ENSG00000106615	6009	RHEB	RHEB	7	protein_coding	Ras homolog, mTORC1 binding	42
PRKAG2	ENSG00000106617	51422	PRKAG2	PRKAG2	7	protein_coding	protein kinase AMP-activated non-catalytic subunit gamma 2	48.91
PRKAG2-AS1	ENSG00000239911	NA	PRKAG2-AS1	PRKAG2-AS1	7	antisense	PRKAG2 antisense RNA 1	60.13
AC074257.1	ENSG00000227562	NA	RP11-796I2.1	NA	7	antisense	NA	44.63
GALNTL5	ENSG00000106648	168391	GALNTL5	GALNTL5	7	protein_coding	polypeptide N-acetylgalactosaminyltransferase like 5	42.38
GALNT11	ENSG00000178234	63917	GALNT11	GALNT11	7	protein_coding	polypeptide N-acetylgalactosaminyltransferase 11	41.23
AC006017.1	ENSG00000229591	NA	RP5-981O7.2	NA	7	antisense	NA	43.97
KMT2C	ENSG00000055609	58508	KMT2C	KMT2C	7	protein_coding	lysine methyltransferase 2C	38.65
LINC01003	ENSG00000261455	NA	LINC01003	LINC01003	7	lincRNA	long intergenic non-protein coding RNA 1003	60.83
XRCC2	ENSG00000196584	7516	XRCC2	XRCC2	7	protein_coding	X-ray repair cross complementing 2	42.57
ACTR3B	ENSG00000133627	57180	ACTR3B	ACTR3B	7	protein_coding	ARP3 actin related protein 3 homolog B	43.36
LINC01287	ENSG00000234722	NA	LINC01287	LINC01287	7	lincRNA	long intergenic non-protein coding RNA 1287	46.43
DPP6	ENSG00000130226	1804	DPP6	DPP6	7	protein_coding	dipeptidyl peptidase like 6	43.87
AC006019.3	ENSG00000270114	NA	RP5-1048B16.1	NA	7	antisense	NA	44
AC006019.1	ENSG00000203335	NA	AC006019.3	NA	7	antisense	NA	52.5
AC006019.2	ENSG00000233363	NA	AC006019.4	NA	7	antisense	NA	48.14
AC073336.1	ENSG00000236408	NA	RP11-476H24.1	NA	7	antisense	NA	45.46
PAXIP1-AS2	ENSG00000214106	NA	PAXIP1-AS2	PAXIP1-AS2	7	antisense	PAXIP1 antisense RNA 2	40.56
PAXIP1	ENSG00000157212	22976	PAXIP1	PAXIP1	7	protein_coding	PAX interacting protein 1	40.81
AC093726.1	ENSG00000272760	NA	RP11-5C23.1	NA	7	antisense	NA	34.79
AC093726.2	ENSG00000273183	NA	RP11-5C23.2	NA	7	antisense	NA	44.33
PAXIP1-AS1	ENSG00000273344	NA	PAXIP1-AS1	PAXIP1-AS1	7	lincRNA	PAXIP1 antisense RNA 1 (head to head)	48.32
HTR5A-AS1	ENSG00000220575	NA	HTR5A-AS1	HTR5A-AS1	7	antisense	HTR5A antisense RNA 1	47.09
HTR5A	ENSG00000157219	3361	HTR5A	HTR5A	7	protein_coding	5-hydroxytryptamine receptor 5A	42.58
AC099552.1	ENSG00000217825	NA	AC099552.4	NA	7	lincRNA	NA	42.26
AC099552.3	ENSG00000228521	NA	AC099552.3	NA	7	lincRNA	NA	60.69
AC099552.2	ENSG00000225612	NA	AC099552.2	NA	7	lincRNA	NA	54.91
AC144652.1	ENSG00000273117	NA	AC144652.1	NA	7	lincRNA	NA	56.34
INSIG1	ENSG00000186480	3638	INSIG1	INSIG1	7	protein_coding	insulin induced gene 1	44.41
BLACE	ENSG00000204960	NA	BLACE	BLACE	7	lincRNA	B cell acute lymphoblastic leukemia expressed	57.33
AC008060.1	ENSG00000218672	NA	AC008060.7	NA	7	lincRNA	NA	53.43
AC008060.3	ENSG00000236544	NA	AC008060.8	NA	7	lincRNA	NA	52.8
EN2	ENSG00000164778	2020	EN2	EN2	7	protein_coding	engrailed homeobox 2	55.72
CNPY1	ENSG00000146910	285888	CNPY1	CNPY1	7	protein_coding	canopy FGF signaling regulator 1	48.82
